gen_name|original_name|best_bid|best_ask|best_bid_qty|best_ask_qty|last_price|last_qty|open24h|high24h|low24h|price_change24h|volume24h|volume_usd24h|quote_volume24h|display_name_x|quote_index_price|index_price|index_high24h|index_low24h|index_price_change24h|base_currency|quote_currency|display_name_y|base_display_name|quote_display_name|price_step|qty_step|qty_min|quote_qty_step|quote_qty_min|taker_fee_rate|maker_fee_rate|groups|group_steps|status|display_status
AAVEUSDT|AAVE-USDT|93.630000000000|93.960000000000|10.000000000000|10.000000000000|93.810000000000|0.280000000000|91.110000000000|94.960000000000|90.600000000000|0.029634507738|1526.736000000000|141503.327488289981|141396.519090000000|AAVE-USDT||||||AAVE|USDT|AAVE-USDT|AAVE|USDT|0.01|0.001|0.001|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
ADAUSDT|ADA-USDT|0.600500000000|0.601400000000|81.500000000000|83.200000000000|0.600600000000|1314.200000000000|0.576200000000|0.612100000000|0.573000000000|0.042346407497|3671796.600000000000|2195969.102743989674|2194303.803240000000|ADA-USDT||||||ADA|USDT|ADA-USDT|ADA|USDT|0.0001|0.1|0.1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
AGIXUSDT|AGIX-USDT|0.343200000000|0.357200000000|7651.000000000000|7651.000000000000|0.360100000000|81.000000000000|0.317800000000|0.360200000000|0.315900000000|0.133102580239|908365.000000000000|294375.902107143382|294153.972600000000|AGIX-USDT||||||AGIX|USDT|AGIX-USDT|AGIX|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
AINNUSDT|AINN-USDT|1.240000000000|1.260000000000|8.000000000000|3.000000000000|1.240000000000|1.000000000000|1.240000000000|1.240000000000|1.240000000000|0.000000000000|0.000000000000|0.000000000000|0.000000000000|AINN-USDT||||||AINN|USDT|AINN-USDT|AINN|USDT|0.01|1|1|0.000000000001|10|0.002000000000|0.002000000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
AIPYUSDT|AIPY-USDT|0.001010000000|0.003970000000|9776.000000000000|2519.000000000000|0.003960000000|7576.000000000000|0.005970000000|0.005970000000|0.001010000000|-0.336683417085|2364248.000000000000|8857.236160549432|8850.730640000000|AIPY-USDT||||||AIPY|USDT|AIPY-USDT|AIPY|USDT|0.00001|1|1|0.000000000001|10|0.002000000000|0.002000000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|1
ALPINEUSDT|ALPINE-USDT|2.146000000000|2.153000000000|7.000000000000|7.000000000000|2.149000000000|6.000000000000|2.102000000000|2.163000000000|2.090000000000|0.022359657469|85482.000000000000|181965.316368261864|181827.106000000000|ALPINE-USDT||||||ALPINE|USDT|ALPINE-USDT|ALPINE|USDT|0.001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
APEUSDT|APE-USDT|1.634200000000|1.642800000000|59.810000000000|61.030000000000|1.638800000000|250.380000000000|1.568600000000|1.675900000000|1.561300000000|0.044753283182|241128.890000000000|390648.140113323787|390356.425544000000|APE-USDT||||||APE|USDT|APE-USDT|APE|USDT|0.0001|0.01|1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
AVAXUSDT|AVAX-USDT|41.290000000000|41.400000000000|50.000000000000|50.000000000000|41.330000000000|48.820000000000|41.720000000000|43.490000000000|40.950000000000|-0.009348034516|84054.050000000000|3544012.364606108838|3541361.102600000000|AVAX-USDT||||||AVAX|USDT|AVAX-USDT|AVAX|USDT|0.01|0.01|0.01|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
AXSUSDT|AXS-USDT|8.100000000000|8.170000000000|6.150000000000|6.150000000000|8.110000000000|0.330000000000|7.970000000000|8.310000000000|7.890000000000|0.017565872020|60500.690000000000|488591.324742217970|488214.117000000000|AXS-USDT||||||AXS|USDT|AXS-USDT|AXS|USDT|0.01|0.01|0.01|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
BATUSDT|BAT-USDT|0.242400000000|0.245400000000|150.000000000000|150.000000000000|0.243700000000|545.000000000000|0.236400000000|0.246300000000|0.235700000000|0.030879864636|4339016.000000000000|1044597.647804147443|1043819.966100000000|BAT-USDT||||||BAT|USDT|BAT-USDT|BAT|USDT|0.0001|1|1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
