|gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC
0|MAXUSDT|None|None|None|None|None
1|AGIXUSDT|AGIX-USDT|None|agixusdt|AGIX-USDT|AGIX-USDT
2|FIOUSDT|None|None|fiousdt|None|None
3|VLXUSDT|None|None|vlxusdt|None|None
4|BTCTRY|None|None|btctry|BTC-TRY|BTC-TRY
5|DOGEETH|None|None|None|DOGE-ETH|DOGE-ETH
6|XLMUSDC|None|None|None|XLM-USDC|XLM-USDC
7|SYNCUSDT|None|None|None|None|None
8|A3B4X8Z9|None|None|a3b4x8z9|None|None
9|BATUSDT|BAT-USDT|None|batusdt|BAT-USDT|BAT-USDT
10|FYNUSDT|None|None|None|None|None
11|ZAMUSDT|None|None|None|None|None
12|MUSKMEMEUSDT|None|None|None|None|None
13|GOATUSDT|None|None|None|None|None
14|RONUSDT|None|None|None|RON-USDT|RON-USDT
15|FOMOUSDT|None|None|None|None|None
16|AITUSDT|None|None|None|None|None
17|MEFAUSDT|None|None|None|None|None
18|PRISMAUSDT|None|None|prismausdt|None|None
19|XMPUSDT|None|None|None|None|None
20|DAIUSDT|None|DAI_USDT|daiusdt|DAI-USDT|DAI-USDT
21|NFTUSDT|None|None|nftusdt|NFT-USDT|NFT-USDT
22|KLCUSDT|None|None|None|None|None
23|OTACONUSDT|None|None|None|None|None
24|VSYSUSDT|None|None|vsysusdt|VSYS-USDT|VSYS-USDT
25|VOLTAGEUSDT|None|None|None|None|None
26|PAYUUSDT|None|None|None|None|None
27|NEARUSDD|None|None|nearusdd|None|None
28|LYUMUSDT|None|None|None|None|None
29|BCTUSDT|None|None|None|None|None
30|TOMSUSDT|None|None|tomsusdt|None|None
31|FETUSDT|None|None|fetusdt|FET-USDT|FET-USDT
32|ROOTUSDT|None|None|None|None|None
33|EULUSDC|None|None|None|None|None
34|PAPIUSDT|None|None|None|None|None
35|MANAUSDT|MANA-USDT|MANA_USDT|manausdt|MANA-USDT|MANA-USDT
36|KENKAUSDT|None|None|None|None|None
37|BOSONUSDT|None|None|bosonusdt|None|None
38|CRTSUSDT|None|None|crtsusdt|None|None
39|LEGOUSDT|None|None|None|None|None
40|SFMUSDT|None|None|None|None|None
41|BICOUSDT|None|None|bicousdt|BICO-USDT|BICO-USDT
42|MXTUSDT|None|None|None|None|None
43|CNTMUSDT|None|None|None|None|None
44|SONUSDT|None|None|None|None|None
45|USTCUSDT|None|None|ustcusdt|USTC-USDT|USTC-USDT
46|RICEUSDT|None|None|None|None|None
47|MEME2USDT|None|None|None|None|None
48|SAFEUSDT|None|None|None|None|None
49|LATUSDT|None|None|latusdt|LAT-USDT|LAT-USDT
50|QDOUSDT|None|None|None|None|None
51|ACSUSDT|None|None|acsusdt|None|None
52|STETHETH|None|None|stetheth|STETH-ETH|STETH-ETH
53|SWTUSDT|None|None|None|None|None
54|MLUSDT|None|None|None|None|None
55|CTSIUSDT|None|None|ctsiusdt|None|None
56|XPNETUSDT|None|None|None|None|None
57|BORINGUSDT|None|None|boringusdt|BORING-USDT|BORING-USDT
58|BNCUSDT|None|None|None|None|None
59|CHICAUSDT|None|None|None|None|None
60|UNIETH|None|None|None|None|None
61|NADAUSDT|None|None|None|None|None
62|XDATAUSDT|None|None|None|None|None
63|ROGUSDT|None|None|None|None|None
64|MINARUSDT|None|None|None|None|None
65|H3H3X8Z9|None|None|h3h3x8z9|None|None
66|RENETH|None|None|None|None|None
67|PIPUSDT|None|None|None|None|None
68|ROUTEUSDT|None|None|routeusdt|None|None
69|SATSUSDT|SATS-USDT|None|satsusdt|SATS-USDT|SATS-USDT
70|ANALOSUSDT|None|None|analosusdt|None|None
71|DISUSDT|None|None|disusdt|None|None
72|AVAXBTC|None|None|None|AVAX-BTC|AVAX-BTC
73|EDUUSDT|None|None|None|None|None
74|KNFTUSDT|None|None|None|None|None
75|SOSUSDT|None|None|None|None|None
76|SPXUSDT|None|None|None|None|None
77|ETHRUB|None|ETH_RUB|None|None|None
78|EXMETH|None|EXM_ETH|None|None|None
79|TOFFEEUSDT|None|None|None|None|None
80|KSMUSDT|None|None|ksmusdt|KSM-USDT|KSM-USDT
81|REDUSDT|None|None|None|None|None
82|EOSBTC|None|EOS_BTC|eosbtc|EOS-BTC|EOS-BTC
83|KVERSEUSDT|None|None|None|None|None
84|YFXUSDT|None|None|None|None|None
85|PAYSUSDT|None|None|None|None|None
86|XAI2USDT|None|None|None|None|None
87|PRIMALUSDT|None|None|None|None|None
