gen_name|original_name|best_ask|quantity_ask|best_bid|quantity_bid|min_quantity|max_quantity|min_price|max_price|max_amount|min_amount|price_precision|commission_taker_percent|commission_maker_percent
BTCUSDT|BTC_USDT|51931.16|0.00028127|51911.43|0.36585619|0.00002|1000|0.01|150000|500000|1|2|0.2|0.2
BTCUSDX|BTC_USDX|58600|0.05211365|58500|0.00016889|0.00002|1000|1|150000|500000|1|2|0.3|0.1
ADABTC|ADA_BTC|0.00001168|134.78360332|0.00001151|373.78519811|1|10000000|0.00000001|1|100|0.001|8|0.1|0.1
ADAUSDT|ADA_USDT|0.601|20000|0.6007|19592.43863288|1|10000000|0.0001|1000|500000|0.01|8|0.2|0.2
ALGOBTC|ALGO_BTC|0.00000368|136.20266957|0.00000364|1177.70217221|2|1000000|0.00000001|1|50|0.000001|8|0.1|0.1
ALGOUSDT|ALGO_USDT|0.19034034|39963.44039054|0.19004981|50000|2|1000000|0.001|1000|500000|1|8|0.2|0.2
ALGORUB|ALGO_RUB|17.5|120.97943657|17.35|115.27377521|2|1000000|0.000001|10000|50000000|1|2|0.3|0.3
ATOMBTC|ATOM_BTC|0.0002008|0.15|0.00019866|0.49|0.1|500000|0.00000001|1|100|0.001|8|0.1|0.1
ATOMUSDT|ATOM_USDT|10.390665|2.45833128|10.357534|2.15833129|0.1|500000|0.001|1000|500000|0.5|6|0.2|0.2
BCHRUB|BCH_RUB|24889.77|0.01837364|24153.94|0.05627032|0.003|5000|0.00000001|2000000|50000000|0.0001|2|0.3|0.3
BCHBTC|BCH_BTC|0.00519709|0.097|0.00517308|0.01875|0.003|5000|0.00000001|5|100|0.0001|8|0.1|0.1
BCHETH|BCH_ETH|0.095255|0.041916|0.093001|0.08942822|0.003|5000|0.0000001|200|5000|0.0001|6|0.1|0.1
BCHUSDT|BCH_USDT|269.45|25.31637962|269.1066|0.0896861|0.003|5000|0.01|5000|500000|3|4|0.2|0.2
BTCRUB|BTC_RUB|4734000|0.0095334|4720000.01|0.0000481|0.00002|1000|1|20000000|50000000|10|2|0.3|0.1
BTCKZT|BTC_KZT|24039998.9|0.00147321|19388779.34|0.0023|0.00002|1000|1000|200000000|100000000|800|2|0.3|0.1
CHZBTC|CHZ_BTC|0.00000212|19.60991345|0.00000204|302.88156862|5|100000000|0.00000001|1|100|0.000001|8|0.1|0.1
CHZUSDT|CHZ_USDT|0.10872|20000|0.10487801|943.95383741|5|100000000|0.00000001|100|500000|0.1|8|0.2|0.2
DAIRUB|DAI_RUB|90.75|0.08713544|90.19|13.69587058|1|500000|0.01|100000|30000000|0.5|2|0.3|0.3
DAIBTC|DAI_BTC|0.00001946|28.20091684|0.0000191|14.67820544|1|500000|0.0000001|0.1|100|0.00001|8|0.1|0.1
DAIETH|DAI_ETH|0.0003586|299.78778047|0.00033652|26.74432426|1|500000|0.000001|10|5000|0.0001|8|0.1|0.1
DAIUSDT|DAI_USDT|1.001|1966.74317758|0.998|2783.91523565|1|500000|0.001|1000|500000|0.1|6|0.2|0.2
DASHRUB|DASH_RUB|2680|0.23862815|2613.99|0.51995225|0.01|10000|0.01|500000|50000000|150|2|0.3|0.3
DASHBTC|DASH_BTC|0.0005637|50|0.0005612|50|0.01|10000|0.0001|1|100|0.001|8|0.1|0.1
DASHUSDT|DASH_USDT|29.18|50|29.12|50|0.01|10000|0.01|5000|500000|3|6|0.2|0.2
DOGEBTC|DOGE_BTC|0.00000166|100|0.00000164|1241.80110152|5|500000000|0.0000001|1|100|0.0001|8|0.1|0.1
DOTBTC|DOT_BTC|0.00015168|16.18554784|0.00015014|21.2725|0.05|500000|0.00000001|1|100|0.001|8|0.1|0.1
DOTUSDT|DOT_USDT|7.82|3|7.817|1000|0.05|500000|0.0001|10000|500000|0.01|4|0.2|0.2
EOSUSDT|EOS_USDT|0.78169|33.13452618|0.7812|592.68893289|0.1|500000|0.01|1000|500000|0.5|6|0.2|0.2
ECSBTC|ECS_BTC|0.00000033|1117.68394948|0.00000008|3749.99999999|10|50000000|0.00000001|1|100|0.001|8|0.1|0.1
