currency|chain|display_name|deposit_status|withdraw_status
usdt|algousdt|ALGO|allowed|prohibited
usdt|arc20usdt|ARBITRUMONE|allowed|prohibited
usdt|bep20usdt|BEP20|prohibited|prohibited
usdt|btt2usdt|BTT|prohibited|prohibited
usdt|cchainusdt|AVAXCCHAIN|allowed|prohibited
usdt|hrc20usdt|HECO|prohibited|prohibited
usdt|optusdt|OPTIMISM|allowed|prohibited
usdt|solusdt|SOLANA|allowed|allowed
usdt|trc20usdt|TRC20|allowed|allowed
usdt|usdterc20|ERC20|allowed|allowed
usdd|bep20usdd|BEP20|allowed|prohibited
usdd|erc20usdd|ERC20|allowed|prohibited
usdd|usdd|TRC20|allowed|allowed
husd|hrc20husd|HECO|prohibited|prohibited
husd|husd|ERC20|prohibited|prohibited
husd|irc21husd|IOST|prohibited|prohibited
husd|trc20husd|TRC20|prohibited|prohibited
gusd|gusd|ERC20|allowed|allowed
tusd|hrc20tusd|HECO|prohibited|prohibited
tusd|trc20tusd|TRC20|allowed|allowed
tusd|tusd1|ERC20|allowed|allowed
usdp|hrc20pax|HECO|prohibited|prohibited
usdp|pax|ERC20|allowed|allowed
usdc|algousdc|ALGO|allowed|prohibited
usdc|arc20usdc|ARBITRUMONE|prohibited|prohibited
usdc|bep20usdc|BEP20|allowed|prohibited
usdc|btt2usdc|BTT|prohibited|prohibited
usdc|cchainusdc|AVAXCCHAIN|prohibited|prohibited
usdc|hrc20usdc|HECO|prohibited|prohibited
usdc|optusdc|OPTIMISM-BRIDGED|prohibited|prohibited
usdc|optusdc1|OPTIMISM|allowed|prohibited
usdc|solusdc|SOLANA|allowed|prohibited
usdc|trc20usdc|TRC20|allowed|allowed
usdc|usdc|ERC20|allowed|allowed
btc|btc|BTC|allowed|allowed
btc|btt2btc|BTT|prohibited|prohibited
btc|hbtc|ERC20|prohibited|prohibited
btc|hrc20btc|HECO|prohibited|prohibited
btc|trc20btc|TRC20|allowed|allowed
eth|arbieth|ARBITRUM|allowed|prohibited
eth|baseeth|BASE|allowed|prohibited
eth|btt2eth|BTT|prohibited|prohibited
eth|eth|ERC20|allowed|allowed
eth|hrc20eth|HECO|prohibited|prohibited
eth|opteth|OPTIMISM|allowed|prohibited
xrp|hrc20xrp|HECO|prohibited|prohibited
xrp|xrp|XRP|allowed|allowed
bch|bcc|BCC|allowed|allowed
bch|hbch|ERC20|allowed|allowed
bch|hrc20bch|HECO|prohibited|prohibited
eos|eos1|EOS|allowed|allowed
eos|hrc20eos|HECO|prohibited|prohibited
ht|ht|ERC20|allowed|allowed
ht|ht2|HECO|allowed|prohibited
ht|trc20ht|TRC20|prohibited|prohibited
ltc|hltc|ERC20|allowed|prohibited
ltc|hrc20ltc|HECO|prohibited|prohibited
ltc|ltc|LTC|allowed|allowed
xmr|xmr1|XMR|prohibited|prohibited
ada|ada|ADA|allowed|allowed
ada|hrc20ada|HECO|prohibited|prohibited
etc|etc|ETC|allowed|allowed
etc|hrc20etc|HECO|prohibited|prohibited
dash|dash|DASH|allowed|allowed
zec|hrc20zec|HECO|prohibited|prohibited
zec|zec|ZEC|allowed|allowed
iota|iota1|IOTA|prohibited|prohibited
neo|neo1|NEON3|allowed|allowed
trx|erc20trx|ERC20|allowed|prohibited
trx|hrc20trx|HECO|prohibited|prohibited
trx|trx1|TRC20|allowed|allowed
qtum|qtum|QTUM|allowed|allowed
xem|xem|XEM|allowed|allowed
omg|hrc20omg|HECO|prohibited|prohibited
omg|omg|ERC20|allowed|allowed
hc|hc|HC|prohibited|allowed
lsk|lsk1|LSK|prohibited|prohibited
dcr|dcr|DCR|allowed|allowed
btg|btg|BTG|prohibited|prohibited
steem|steem|STEEM|allowed|allowed
bts|bts|BTS|allowed|allowed
icx|icx1|ICX|allowed|allowed
waves|waves|WAVES|allowed|allowed
snt|snt|ERC20|allowed|allowed
salt|salt|ERC20|prohibited|prohibited
glm|glm|ERC20|allowed|allowed
cmt|cmt1|CMT|prohibited|prohibited
btm|erc20btm|ERC20|allowed|allowed
pay|pay|ERC20|prohibited|prohibited
knc|hrc20knc|HECO|prohibited|prohibited
knc|knc1|ERC20|allowed|allowed
powr|powr|ERC20|allowed|allowed
bat|bat|ERC20|allowed|allowed
bat|hrc20bat|HECO|prohibited|prohibited
dgd|dgd|ERC20|prohibited|prohibited
vet|hrc20vet|HECO|prohibited|prohibited
vet|vet|VET|allowed|allowed
qash|qash|ERC20|prohibited|allowed
firo|xzc|XZC|prohibited|prohibited
zrx|hrc20zrx|HECO|prohibited|prohibited
zrx|zrx|ERC20|allowed|allowed
gas|gas1|NEON3|allowed|allowed
mana|hrc20mana|HECO|prohibited|prohibited
mana|mana|ERC20|allowed|allowed
eng|eng|ERC20|prohibited|prohibited
cvc|cvc|ERC20|allowed|allowed
mco|mco|ERC20|prohibited|prohibited
mtl|mtl|ERC20|allowed|allowed
rdn|rdn|ERC20|prohibited|prohibited
storj|hrc20storj|HECO|prohibited|prohibited
storj|storj|ERC20|allowed|allowed
chat|chat|ERC20|prohibited|prohibited
link|hrc20link|HECO|prohibited|prohibited
link|link|ERC20|allowed|allowed
srn|srn|ERC20|prohibited|prohibited
act|act1|ACT|allowed|allowed
tnb|tnb|ERC20|prohibited|prohibited
qsp|qsp|ERC20|prohibited|prohibited
req|req|ERC20|allowed|allowed
appc|appc|ERC20|prohibited|prohibited
rcn|rcn|ERC20|prohibited|prohibited
smt|smt2|SMT|allowed|allowed
adx|adx1|ERC20|allowed|allowed
tnt|tnt|ERC20|prohibited|prohibited
ost|ost|ERC20|prohibited|prohibited
itc|polyitc|MATIC|prohibited|allowed
lun|lun|ERC20|prohibited|prohibited
gnx|gnx|ERC20|prohibited|prohibited
