gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
SYLOUSDT|sylousdt|0.002346|0.002684|0.002331|0.002564|276493624.5803|679933.463495481|10055|0.002556|23269.5042|0.002575|66848.6342
ZIGUSDT|zigusdt|0.071177|0.072575|0.067835|0.069034|725029.5492528877|51543.5237363312|2734|0.068931|222.7534|0.069122|222.7088
WALLETUSDT|walletusdt|0.011624|0.011771|0.011549|0.011584|43704625.331577316|507128.8166023635|30949|0.011549|769.0056|0.011626|3004.3769
MUSICUSDT|musicusdt|0.151071|0.178|0.137|0.168164|24142376.170874402|3582049.847478721|58138|0.167333|109.5683|0.168862|620.3684
BTCTRY|btctry|1697373.74|1697373.74|1580833.74|1580833.74|0.001227|2052.42043196|7|1592829.17|0.004641|1698971.47|0.003634
HBBUSDT|hbbusdt|0.253|0.2557|0.2468|0.2489|127498.6275229058|32143.277870740396|969|0.2485|321.8686|0.2492|154.8525
ANALOSUSDT|analosusdt|0.0001053|0.0001063|9.6e-05|9.85e-05|24320468145.008305|2491199.1327931085|32313|9.81e-05|1202857.1151|9.89e-05|437281.7966
KOKUSDT|kokusdt|0.00875|0.00875|0.00783|0.00835|6207127.217991382|52432.180265547|380|0.00815|8466.2576|0.00843|129.55507959667852
LUNCUSDD|luncusdd|0.00012846|0.00012908|0.0001245|0.000126|58433461.267285116|7449.9011838395|304|0.00012601|2120523.65|0.00012734|10334587.79
KCTUSDT|kctusdt|0.009888|0.010196|0.009419|0.009755|7945700.566672919|77712.51044432167|1759|0.009753|1127.8209|0.009866|4162.5238
SMTUSDT|smtusdt|0.00281|0.002931|0.002581|0.002931|22530763.36205737|63144.3081822428|302|0.002811|10629.8418|0.002921|7855.7946
BABYUSDT|babyusdt|0.001451|0.001454|0.00141|0.001424|1147777322.9843|1636134.8223982484|60000|0.001423|16474.03|0.001428|77869.513
MEDAMONUSDT|medamonusdt|0.001919|0.001967|0.001813|0.001839|1029329.0393988409|1906.3149000198|49|0.001838|25903.803|0.001945|35310.396
SCUSDT|scusdt|0.013439|0.015027|0.01277|0.014255|23347713.305513266|315841.09776253|8574|0.014241|3253.14|0.014365|23550.05
