coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
AGLD|Adventure Gold|AGLD|Adventure Gold|True|True|Ethereum(ERC20)
STPT|STP|STPT|STP|True|True|Ethereum(ERC20)
BBC|BitCoin Battle|BBC|BitCoin Battle|False|True|BNB Smart Chain(BEP20)
SCT|SuperCells|SCT|SuperCells|True|True|BNB Smart Chain(BEP20)
BBF|Bubblefong Token|BBF|Bubblefong Token|True|True|Ethereum(ERC20)
XRPAYNET|XRPaynet|XRPAYNET|XRPaynet|True|True|Ripple(XRP)
SCY|Synchrony|SCY|Synchrony|False|True|Solana(SOL)
BBI|BNBIT Token|BBI|BNBIT Token|False|True|BNB Smart Chain(BEP20)
KUJI|Kujira|KUJI|Kujira|True|True|KUJI
NEAR|NEAR|NEAR|NEAR|True|False|NEAR Protocol(NEAR)
SCOTTY|Scotty Beam|SCOTTY|Scotty Beam|True|True|BNB Smart Chain(BEP20)
JRT|Jarvis|JRT|Jarvis|False|True|Ethereum(ERC20)
ORAIX|OraiDEX|ORAIX|OraiDEX|True|True|ORAI
BBS|BBS|BBS|BBS|True|True|Ethereum(ERC20)
SDL|Saddle|SDL|Saddle|False|True|Ethereum(ERC20)
SDN|Shiden|SDN|Shiden|True|True|SDN
OPUL|Opulous|OPUL|Opulous|True|True|Algorand(ALGO)
OPUL|Opulous|OPUL|Opulous|True|True|Ethereum(ERC20)
SDP|Sopdap AI|SDP|Sopdap AI|False|True|BNB Smart Chain(BEP20)
PMEER|QITMEER|PMEER|QITMEER|False|False|PMEER
BCB|Blockchain Bets|BCB|Blockchain Bets|True|True|Ethereum(ERC20)
STOS|Stratos|STOS|Stratos|True|True|Ethereum(ERC20)
SDT|Solidex|SDT|Solidex|False|True|BNB Smart Chain(BEP20)
MARBLE|Marbles Bet|MARBLE|Marbles Bet|False|True|Ethereum(ERC20)
BCC|BasisCoinCash|BCC|BasisCoinCash|False|True|Ethereum(ERC20)
NWUMBO|NWUMBO|NWUMBO|NWUMBO|False|False|NONE
