gen_name|original_name|bidPrice|bidQty|askPrice|askQty|status|baseAsset|baseAssetPrecision|quoteAsset|quotePrecision|quoteAssetPrecision|baseCommissionPrecision|quoteCommissionPrecision|orderTypes|isSpotTradingAllowed|isMarginTradingAllowed|quoteAmountPrecision|baseSizePrecision|permissions|filters|maxQuoteAmount|makerCommission|takerCommission|quoteAmountPrecisionMarket|maxQuoteAmountMarket|fullName
HEXUSDT|HEXUSDT|0.008700|475037.38|0.008900|282393.52|ENABLED|HEX|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|HEX
HIGHUSDT|HIGHUSDT|1.671|17436.460|1.674|26224.477|ENABLED|HIGH|3|USDT|3|3|3|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Highstreet
SHIAUSDT|SHIAUSDT|0.05290|120.57|0.05322|333.29|ENABLED|SHIA|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Shiba Saga
APXUSDT|APXUSDT|0.07376|385.95|0.07454|401.60|ENABLED|APX|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ApolloX
MIDDLEUSDT|MIDDLEUSDT|0.0000000000251|343717510282.41|0.0000000000300|315816909726.45|ENABLED|MIDDLE|2|USDT|13|13|2|13|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|MiddleLend
XRPBABYUSDT|XRPBABYUSDT|0.0000001900|92841257.36|0.0000001919|174092998.15|ENABLED|XRPBABY|2|USDT|10|10|2|10|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|XRPBABY
TOMBPLUSUSDT|TOMBPLUSUSDT|0.06750|93.00|0.07086|325.92|ENABLED|TOMBPLUS|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Tombplus
INJUSDT|INJUSDT|37.605|645.98|37.606|649.41|ENABLED|INJ|2|USDT|3|3|2|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Injective
MINTIUSDT|MINTIUSDT|0.002656|9412.65|0.003269|14862.33|ENABLED|MINTI|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Minti
FNZUSDT|FNZUSDT|0.002810|2306.05|0.002840|2281.69|ENABLED|FNZ|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Fanzee
