currency|chain|name|deposit_enable|withdraw_enable
USDT|USDT-OKTC|Tether|True|False
USDT|USDT-ERC20|Tether|True|True
USDT|USDT-TRC20|Tether|True|True
USDT|USDT-Polygon|Tether|True|True
USDT|USDT-Solana|Tether|True|True
USDT|USDT-Avalanche C-Chain|Tether|True|True
USDT|USDT-Arbitrum One|Tether|True|True
USDT|USDT-Optimism|Tether|True|True
USDC|USDC-OKTC|USD Coin|True|False
USDC|USDC-ERC20|USD Coin|True|True
USDC|USDC-TRC20|USD Coin|True|True
USDC|USDC-Polygon (Bridged)|USD Coin|True|True
USDC|USDC-Solana|USD Coin|True|True
USDC|USDC-Avalanche C-Chain|USD Coin|True|True
USDC|USDC-Optimism (Bridged)|USD Coin|True|True
USDC|USDC-Arbitrum One|USD Coin|True|True
USDC|USDC-Optimism|USD Coin|True|True
USDC|USDC-Polygon|USD Coin|True|True
BTC|BTC-Bitcoin|Bitcoin|True|True
BTC|BTC-Lightning|Bitcoin|True|True
BTC|BTCK-OKTC|Bitcoin|True|False
ETH|ETH-ERC20|Ethereum|True|True
ETH|ETHK-OKTC|Ethereum|True|False
ETH|ETH-Arbitrum One|Ethereum|True|True
ETH|ETH-Optimism|Ethereum|True|True
ETH|ETH-Starknet|Ethereum|True|True
ETH|ETH-zkSync Era|Ethereum|True|True
ETH|ETH-Base|Ethereum|True|True
ETH|ETH-Linea|Ethereum|True|True
OKB|OKB-ERC20|OKB|True|True
OKB|OKB-OKTC|OKB|True|False
LTC|LTC-Litecoin|Litecoin|True|True
LTC|LTCK-OKTC|Litecoin|True|False
XRP|XRP-Ripple|Ripple|True|True
XRP|XRPK-OKTC|Ripple|True|False
BCH|BCH-BitcoinCash|Bitcoin Cash|True|True
BCH|BCHK-OKTC|Bitcoin Cash|True|False
BSV|BSV-Bitcoin SV|Bitcoin SV|True|True
ETC|ETC-Ethereum Classic|Ethereum Classic|True|True
ETC|ETCK-OKTC|Ethereum Classic|True|False
1INCH|1INCH-ERC20|1INCH|True|True
AAVE|AAVE-ERC20|Aave Token|True|True
ACA|ACA-Acala|Acala|True|True
ACE|ACE-Endurance Smart Chain|ACE|True|True
ACH|ACH-ERC20|Alchemy Pay|True|True
ADA|ADA-Cardano|Cardano|True|True
AERGO|AERGO-ERC20|Aergo|True|True
AGIX|AGIX-ERC20|SingularityNET|True|True
AGLD|AGLD-ERC20|Adventure Gold|True|True
AIDOGE|AIDOGE-Arbitrum One|ArbDoge AI|True|True
AKITA|AKITA-ERC20|Akita Inu|True|True
ALCX|ALCX-ERC20|Alchemix|True|True
ALGO|ALGO-Algorand|Algorand|True|True
ALPHA|ALPHA-ERC20|Alpha Finance Lab|True|True
ANT|ANT-ERC20|Aragon |True|True
APE|APE-ERC20|ApeCoin|True|True
API3|API3-ERC20|API3|True|True
APM|APM-ERC20|APM|True|True
APT|APT-Aptos|Aptos|True|True
AR|AR-Arweave|Arweave|True|True
ARB|ARB-Arbitrum One|Arbitrum|True|True
ARB|ARB-ERC20|Arbitrum|True|True
ARG|ARG-Chiliz Legacy Chain|Argentine Football Association Fan Token|True|True
ARTY|ARTY-BSC|Artyfact|True|True
AST|AST-ERC20|AirSwap|True|True
ASTR|ASTR-Astar|Astar|True|True
ATOM|ATOM-Cosmos|Cosmos|True|True
AUCTION|AUCTION-ERC20|Bounce|True|True
AVAX|AVAX-Avalanche X-Chain|AVAX|True|True
AVAX|AVAX-Avalanche C-Chain|AVAX|True|True
AVIVE|AVIVE-Arbitrum One|Avive|True|True
AXS|AXS-ERC20|Axie Infinity|True|True
AZY|AZY-BSC|Amazy|True|True
BABYDOGE|BABYDOGE-OKTC|Baby Doge Coin|True|True
BABYDOGE|BABYDOGE-BSC|Baby Doge Coin|True|True
BADGER|BADGER-ERC20|Badger DAO|True|True
BAL|BAL-ERC20|Balancer|True|True
BAND|BAND-ERC20|Band Protocol|True|True
BAT|BAT-ERC20|Basic Attention Token|True|True
BETH|BETH-ERC20|BETH|False|False
BICO|BICO-ERC20|Biconomy Token|True|True
BIGTIME|BIGTIME-ERC20|Big Time|True|True
BLOK|BLOK-Polygon|Bloktopia|True|True
BLUR|BLUR-ERC20|BLUR|True|True
BNB|BNB-BSC|BNB|True|True
BNT|BNT-ERC20|Bancor|True|True
BOBA|BOBA-ERC20|Boba Network|True|True
BONE|BONE-ERC20|Bone ShibaSwap|True|True
BONK|BONK-Solana|Bonk|True|True
BORA|BORA-Klaytn|BORA|True|True
BORING|BORING-ERC20|BoringDAO|True|True
BRWL|BRWL-ERC20|Blockchain Brawlers|True|True
BTT|BTT-TRC20|BitTorrent|True|True
BZZ|BZZ-ERC20|Swarm|True|True
CEEK|CEEK-BSC|CEEK Smart VR|True|True
CEL|CEL-ERC20|Celsius Network|True|True
CELO|CELO-CELO|Celo|True|True
CELO|CELO-CELO-TOKEN|Celo|True|False
CELR|CELR-ERC20|Celer Network|True|True
CETUS|CETUS-SUI|Cetus|True|True
CFG|CFG-ERC20|Centrifuge|True|True
CFX|CFX-Conflux|Conflux Token|True|True
CFX|CFX-CFX_EVM|Conflux Token|True|True
CGL|CGL-Polygon|Crypto Gladiator League|True|True
CHZ|CHZ-ERC20|Chiliz|True|True
CHZ|CHZ-Chiliz Chain|Chiliz|True|True
CITY|CITY-Chiliz Legacy Chain|Manchester City Fan Token|True|True
CLV|CLV-ERC20|Clover Finance|True|True
COMP|COMP-ERC20|Compound|True|True
CONV|CONV-ERC20|Convergence|True|True
CORE|CORE-CORE|Core|True|True
CQT|CQT-ERC20|Covalent|True|True
CRO|CRO-Crypto|Cronos|True|True
CRV|CRV-ERC20|Curve DAO Token|True|True
CRV|CRV-Polygon|Curve DAO Token|True|True
CSPR|CSPR-Casper|CasperLabs|True|True
CTC|CTC-ERC20|Creditcoin|True|True
CTXC|CTXC-Cortex|Cortex|True|True
CVC|CVC-ERC20|Civic|True|True
CVX|CVX-ERC20|Convex Finance|True|True
DAI|DAI-ERC20|Dai|True|True
DAI|DAIK-OKTC|Dai|True|False
DAI|DAI-Polygon|Dai|True|True
DAO|DAO-ERC20|DAO Maker|True|True
DAO|DAO-BSC|DAO Maker|True|True
DASH|DASH-Digital Cash|Dash|False|True
DCR|DCR-Decred|Decred|True|True
DEP|DEP-ERC20|DEAPCOIN|True|True
DGB|DGB-Digibyte|DigiByte|True|True
DIA|DIA-ERC20|DIA|True|True
DMAIL|DMAIL-BSC|Dmail|True|True
DOGE|DOGE-Dogecoin|Dogecoin|True|True
DORA|DORA-ERC20|Dora Factory|True|True
DOSE|DOSE-ERC20|Dosetoken|True|True
DOT|DOT-Polkadot|Polkadot|True|True
DOT|DOTK-OKTC|Polkadot|True|False
DYDX|DYDX-ERC20|dYdX|True|True
DYDX|DYDX-DYDX|dYdX|True|False
EGLD|EGLD-Elrond|Elrond|True|True
ELF|ELF-AELF|aelf|True|True
ELON|ELON-ERC20|Dogelon Mars|True|True
EM|EM-Eminer|Eminer|True|True
ENJ|ENJ-Enjin Relay Chain|ENJIN|True|True
ENS|ENS-ERC20|Ethereum Name Service|True|True
EOS|EOS-EOS|EOS|True|True
ERN|ERN-ERC20|Ethernity Chain|True|True
ETHW|ETHW-EthereumPoW|EthereumPoW|True|True
EURT|EURT-ERC20|Euro Tether|True|True
FET|FET-ERC20|Fetch|True|True
FIL|FIL-Filecoin|Filecoin|True|True
FIL|FILK-OKTC|Filecoin|True|False
FIL|FIL-FEVM|Filecoin|True|False
FITFI|FITFI-Avalanche C-Chain|Step App|True|True
FLM|FLM-N3|Flamingo Finance|True|True
FLOKI|FLOKI-BSC|FLOKI|True|True
FLOW|FLOW-FLOW|Flow|True|True
FLR|FLR-Flare|Flare|True|True
FORTH|FORTH-ERC20|Ampleforth Governance|True|True
FRONT|FRONT-ERC20|Frontier|True|True
FTM|FTM-Fantom|Fantom Token|True|True
FXS|FXS-ERC20|Frax Share|True|True
GAL|GAL-ERC20|Galxe|True|True
GALA|GALA-ERC20|Gala|True|True
GALFT|GALFT-Chiliz Legacy Chain|Galatasaray Fan Token|True|True
GARI|GARI-Solana|Gari Token|True|True
GAS|GAS-NEO|Gas|False|True
GAS|GAS-N3|Gas|True|True
GEAR|GEAR-ERC20|Gearbox|True|True
GF|GF-ERC20|GuildFi|True|True
GFT|GFT-BSC|Gifto|True|True
GHST|GHST-ERC20|Aavegotchi GHST Token|True|True
GLM|GLM-ERC20|GLM|True|True
GLMR|GLMR-Moonbeam|Moonbeam|True|True
GMT|GMT-Solana|STEPN|True|True
GMT|GMT-ERC20|STEPN|True|True
GMT|GMT-Polygon|STEPN|True|True
GMX|GMX-Arbitrum One|GMX|True|True
GOAL|GOAL-BSC|TopGoal Token|True|True
GODS|GODS-ERC20|Gods Unchained|True|True
GOG|GOG-ERC20|Guild of Guardians|True|True
GRT|GRT-ERC20|The Graph|True|True
HBAR|HBAR-Hedera|Hedera|True|True
HC|HC-HyperCash|HyperCash|True|True
HNT|HNT-Solana|Helium|False|True
ICE|ICE-BSC|Ice|True|True
ICP|ICP-Dfinity|Internet Computer Protocol|True|True
ICX|ICX-ICON|ICON |True|True
ID|ID-ERC20|SPACE ID|True|True
IGU|IGU-BSC|IGU|True|True
