gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
1INCHEUR|1INCH-EUR|0.4331|115.446779|0.4261|341.421203|0.4251|506.646893|0.4154|0.4331|0.4154|49.9999999849|115.446779|1708432113712|0.4331|0.4331||1INCH|1|||||||SPOT||1700539798000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||EUR||live||0.0001|
MDTUSDT|MDT-USDT|0.07907|4.724806|0.07909|590.004569|0.07896|19747.04362|0.07403|0.09|0.07007|1865500.81037872587|23192562.604754|1708432118803|0.07234|0.07159||MDT|1|||||||SPOT||1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
LUNAUSDC|LUNA-USDC|0.7213|226.6635|0.7218|1486.6894|0.7203|424.5065|0.716|0.7225|0.698|15041.00963135|21080.3056|1708432118608|0.7155|0.7182||LUNA|1|||||||SPOT|5|1653732267000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDC||live||0.0001|
OASUSDT|OAS-USDT|0.12905|313|0.12934|751.6|0.12894|300|0.13021|0.13494|0.12402|617542.7379358|4850148.01|1708432125008|0.12767|0.12647||OAS|1|||||||SPOT||1670823117000|0.01|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100||USDT||live||0.00001|
LINKBTC|LINK-BTC|0.000375|2.812|0.000375|5.624|0.0003749|10.624|0.0003794|0.0003887|0.0003728|8.7089733372|22805.189|1708432118604|0.0003835|0.0003798||LINK|1|||||||SPOT|5|1548133413000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|0.1||BTC||live||0.0000001|
KNCUSDT|KNC-USDT|0.6735|74.853888|0.674|141.905309|0.6736|14.936519|0.6696|0.6786|0.651|612811.9150905946|920858.871509|1708432123706|0.6714|0.6671||KNC|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
NEOBTC|NEO-BTC|0.0002459|0.02869|0.0002468|15.64847|0.0002452|305.37709|0.0002469|0.0002516|0.000241|0.103916137376|421.25925|1708432121109|0.0002507|0.0002469||NEO|1|||||||SPOT|3|1548133413000|0.00001|9999999999999.0000000000000000|20000000|9999999999999|1000000|1000000|1000000|9999999999999.0000000000000000|9999999999999.0000000000000000|0.1||BTC||live||0.0000001|
DAIUSDT|DAI-USDT|1.0013|69.747377|1.0014|534.850571|1.0012|1313.927073|0.9999|1.0029|0.999|2107452.87810963|2106328.466401|1708432102105|0.9999|1.0001||DAI|1|||||||SPOT||1576623628000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
LUNAUSDT|LUNA-USDT|0.7208|79.0069|0.7208|262.5|0.7206|69.3866|0.7164|0.7252|0.6952|3187617.7066089|4475214.529|1708432124906|0.7142|0.7157||LUNA|1|||||||SPOT|5|1653732267000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDT||live||0.0001|
XNOUSDT|XNO-USDT|1.334|68|1.334|1122.364|1.325|94.7694|1.326|1.347|1.277|42208.6030838|32138.3931|1708432095313|1.338|1.303||XNO|1|||||||SPOT||1654683517000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDT||live||0.001|
