gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC|count_none
SKEBUSDT|None|None|skebusdt|SKEB-USDT|None|3
ELONUSDT|None|None|elonusdt|ELON-USDT|ELONUSDT|2
ERNUSDT|None|None|ernusdt|ERN-USDT|None|3
WOOUSDT|None|None|woousdt|WOO-USDT|WOOUSDT|2
ILVUSDT|None|None|None|ILV-USDT|ILVUSDT|3
MULTIUSDT|None|None|multiusdt|None|MULTIUSDT|3
ZCXUSDT|None|None|zcxusdt|None|ZCXUSDT|3
ANKRUSDT|None|None|ankrusdt|None|ANKRUSDT|3
IOTAUSDT|None|None|iotausdt|IOTA-USDT|None|3
BSVBTC|None|None|bsvbtc|BSV-BTC|None|3
SYSUSDT|None|None|sysusdt|None|SYSUSDT|3
DASHUSDT|None|DASH_USDT|dashusdt|None|DASHUSDT|2
TAMAUSDT|TAMA-USDT|None|None|TAMA-USDT|TAMAUSDT|2
FLMUSDT|None|None|None|FLM-USDT|FLMUSDT|3
SOULUSDT|None|None|soulusdt|None|SOULUSDT|3
CEREUSDT|None|None|cereusdt|None|CEREUSDT|3
OCTUSDT|None|None|octusdt|None|OCTUSDT|3
GNSUSDT|None|None|gnsusdt|None|GNSUSDT|3
TUSDUSDT|None|None|tusdusdt|None|TUSDUSDT|3
RSS3USDT|RSS3-USDT|None|rss3usdt|RSS3-USDT|RSS3USDT|1
OPUSDT|None|None|opusdt|OP-USDT|OPUSDT|2
TRXUSDC|None|None|trxusdc|TRX-USDC|TRXUSDC|2
ALT0USDT|None|None|alt0usdt|None|ALT0USDT|3
ORBSUSDT|None|None|orbsusdt|ORBS-USDT|None|3
RACAUSDT|RACA-USDT|None|racausdt|RACA-USDT|RACAUSDT|1
COREUSDT|None|None|coreusdt|CORE-USDT|COREUSDT|2
WOOFUSDT|None|None|woofusdt|None|WOOFUSDT|3
LUNCUSDT|None|None|luncusdt|LUNC-USDT|LUNCUSDT|2
RABUSDT|None|None|rabusdt|None|RABUSDT|3
XEMUSDT|None|None|xemusdt|XEM-USDT|None|3
ENSUSDT|None|None|ensusdt|ENS-USDT|ENSUSDT|2
KASUSDT|None|KAS_USDT|None|None|KASUSDT|3
BETHUSDT|None|None|bethusdt|BETH-USDT|None|3
NESTUSDT|None|None|nestusdt|None|NESTUSDT|3
FTMUSDT|FTM-USDT|None|ftmusdt|FTM-USDT|FTMUSDT|1
BTMUSDT|None|None|btmusdt|None|BTMUSDT|3
WWYUSDT|None|None|wwyusdt|None|WWYUSDT|3
CHZBTC|None|CHZ_BTC|None|CHZ-BTC|None|3
HSFUSDT|None|None|hsfusdt|None|HSFUSDT|3
GLMRUSDT|None|None|glmrusdt|GLMR-USDT|GLMRUSDT|2
VOLTUSDT|VOLT-USDT|None|voltusdt|None|VOLTUSDT|2
