gen_name|original_name|best_ask|quantity_ask|best_bid|quantity_bid|min_quantity|max_quantity|min_price|max_price|max_amount|min_amount|price_precision|commission_taker_percent|commission_maker_percent
BTCUSDT|BTC_USDT|50097.52|1|49900.04|0.005|0.00002|1000|0.01|150000|500000|1|2|0.2|0.2
BTCUSDX|BTC_USDX|56500|0.00122021|55001|0.00000115|0.00002|1000|1|150000|500000|1|2|0.3|0.1
ADABTC|ADA_BTC|0.00001128|53181.76126333|0.0000111|75.76404021|1|10000000|0.00000001|1|100|0.001|8|0.1|0.1
ADAUSDT|ADA_USDT|0.5579|40000|0.5573|37142.10510026|1|10000000|0.0001|1000|500000|0.01|8|0.2|0.2
ALGOBTC|ALGO_BTC|0.00000362|43.40526454|0.0000036|8.04712086|2|1000000|0.00000001|1|50|0.000001|8|0.1|0.1
ALGOUSDT|ALGO_USDT|0.1805734|79201.70387127|0.18004982|80000|2|1000000|0.001|1000|500000|1|8|0.2|0.2
ALGORUB|ALGO_RUB|16.66|43.36185927|16.11|2039.55963282|2|1000000|0.000001|10000|50000000|1|2|0.3|0.3
ATOMBTC|ATOM_BTC|0.00020373|2.4566403|0.0002|5.28812582|0.1|500000|0.00000001|1|100|0.001|8|0.1|0.1
ATOMUSDT|ATOM_USDT|10.084085|0.18180276|10.083578|15.81545625|0.1|500000|0.001|1000|500000|0.5|6|0.2|0.2
BCHRUB|BCH_RUB|25199.99|0.003|24367.47|0.09264809|0.003|5000|0.00000001|2000000|50000000|0.0001|2|0.3|0.3
BCHBTC|BCH_BTC|0.00557537|0.232345|0.00550907|9.89316041|0.003|5000|0.00000001|5|100|0.0001|8|0.1|0.1
BCHETH|BCH_ETH|0.108521|0.23211249|0.100144|0.17925468|0.003|5000|0.0000001|200|5000|0.0001|6|0.1|0.1
BCHUSDT|BCH_USDT|276.75|26.18988444|276.0314|0.09237022|0.003|5000|0.01|5000|500000|3|4|0.2|0.2
BTCRUB|BTC_RUB|4482477.42|0.00026196|4470000.01|0.00096792|0.00002|1000|1|20000000|50000000|10|2|0.3|0.1
BTCKZT|BTC_KZT|21650000|0.00020266|16788777.16|0.0018|0.00002|1000|1000|200000000|100000000|800|2|0.3|0.1
CHZBTC|CHZ_BTC|0.00000203|242.757|0.00000202|49.13366336|5|100000000|0.00000001|1|100|0.000001|8|0.1|0.1
CHZUSDT|CHZ_USDT|0.10113|20000|0.10109|20000|5|100000000|0.00000001|100|500000|0.1|8|0.2|0.2
DAIRUB|DAI_RUB|91.01|2.43768241|89.68|2.79|1|500000|0.01|100000|30000000|0.5|2|0.3|0.3
DAIBTC|DAI_BTC|0.00002028|30.00530429|0.00001988|2.7927928|1|500000|0.0000001|0.1|100|0.00001|8|0.1|0.1
DAIETH|DAI_ETH|0.00039146|19.98664992|0.00037082|40|1|500000|0.000001|10|5000|0.0001|8|0.1|0.1
DAIUSDT|DAI_USDT|1.001|1975.49195449|0.998|3967.00396782|1|500000|0.001|1000|500000|0.1|6|0.2|0.2
DASHRUB|DASH_RUB|2560|0.00040524|2509.57|8.99601756|0.01|10000|0.01|500000|50000000|150|2|0.3|0.3
