gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
SYLOUSDT|sylousdt|0.001988|0.002114|0.001968|0.002036|231992093.5622|464905.4717575351|9077|0.002029|45056.3955|0.002046|12782.2861
ZIGUSDT|zigusdt|0.051502|0.054446|0.050443|0.053883|1186417.865329927|62062.977418750284|2589|0.053808|736.1231|0.053975|218.8958
WALLETUSDT|walletusdt|0.011963|0.0125|0.011873|0.012369|41518798.77937573|509021.8266411301|28217|0.012333|1131.4827|0.012404|2685.3056
MUSICUSDT|musicusdt|0.123597|0.136748|0.123432|0.12885|27460798.593849454|3517729.220965392|56205|0.128824|227.2299|0.128875|153.2911
BTCTRY|btctry|1625974.51|1625974.51|1625974.51|1625974.51|0.001025|1585.62361955|2|1517535.46|0.009113|1621891.76|0.00236
HBBUSDT|hbbusdt|0.2498|0.2815|0.2341|0.2654|130894.72144760123|33003.13967790715|1063|0.2638|39.2662|0.2662|46.1838
ANALOSUSDT|analosusdt|9.68e-05|0.0001028|9.51e-05|9.95e-05|28003203478.819717|2753749.8437049943|34300|9.92e-05|1052777.5898|9.99e-05|409163.3465
KOKUSDT|kokusdt|0.00814|0.00844|0.00777|0.00795|2233755.3931795983|17840.797402228|222|0.00795|1300.0|0.008|4198.5479
LUNCUSDD|luncusdd|0.00011472|0.00011809|0.0001131|0.00011712|39919987.74|4610.4344290535|236|0.00011497|5627350.28|0.0001169|2957994.14
KCTUSDT|kctusdt|0.005709|0.00608|0.005593|0.005912|13281786.684320044|76832.8374966307|1688|0.005871|1873.4696|0.005953|6360.6285
SMTUSDT|smtusdt|0.002997|0.00323|0.002878|0.002888|21643295.768|66339.289740066|226|0.002903|12000.0|0.002971|17670.6746
BABYUSDT|babyusdt|0.001329|0.001347|0.001271|0.001319|1267414050.0457|1665968.09234391|61604|0.001315|15976.9751|0.001324|86234.0719
MEDAMONUSDT|medamonusdt|0.002297|0.002297|0.001877|0.002115|636762.4630358476|1312.7537094734|51|0.002115|12482.2695|0.002273|10724.7651
SCUSDT|scusdt|0.009004|0.01085|0.008951|0.00967|35365507.47917999|332192.30579368|8382|0.009635|22075.16|0.009716|5178.52
ARIXUSDT|arixusdt|0.3264|0.3399|0.3251|0.3356|250934.90105220984|83234.79338944|3663|0.3351|70.3597|0.3373|120.6106
RLYUSDT|rlyusdt|0.007042|0.007307|0.006753|0.006994|73040007.64|505051.75812303|28490|0.006937|9946.66|0.00705|2230.3
ATOMBTC|atombtc|0.0001971|0.00020161|0.0001968|0.00020021|245.27897458347925|0.04879650687|84|0.00019998|16.258|0.00020066|40.0
VELOUSDT|velousdt|0.005409|0.005841|0.005336|0.005495|296627013.31174415|1619271.3613576433|43590|0.005485|7912.7404|0.005508|10643.5594
POLCUSDT|polcusdt|0.010661|0.012563|0.010601|0.011212|109708351.7281607|1193275.7761074153|31848|0.011196|4120.2548|0.011233|12777.4852
BSVBTC|bsvbtc|0.001635|0.001666|0.001631|0.001636|12.0517|0.0197838952|19|0.001634|2.042|0.00164|15.2671
LADYSUSDT|ladysusdt|5.75e-08|6.32e-08|5.71e-08|6.15e-08|5669897011427.214|332168.7856603561|3402|6.14e-08|267141572.52|6.16e-08|4160028313.18
MAGICUSDT|magicusdt|1.2835|1.3129|1.2695|1.2787|2184586.824886628|2803596.99307201|34129|1.2787|947.4183|1.2791|37.3398
MLKUSDT|mlkusdt|0.3088|0.3182|0.308|0.3137|2547393.4009|795812.8403377|17672|0.3126|52.2987|0.3148|538.2043
ELFUSDT|elfusdt|0.6071|0.6102|0.6017|0.603|3347912.3353140717|2021986.81168333|57399|0.6022|52.9707|0.6037|216.9985
PIUSDT|piusdt|32.018437|33.0|31.241075|31.287206|2292.007814140354|73433.8338806746|2483|31.2872|0.7265|31.287211|0.2194
WAXLUSDT|waxlusdt|1.06583|1.10312|1.05504|1.08399|1448451.5740658576|1558534.92384227|17324|1.08161|118.0083|1.08516|432.2153
LUNCUSDT|luncusdt|0.00011435|0.00011806|0.00011396|0.0001165|174282685.8782018|20066.5136163842|398|0.00011608|3866369.59|0.00011652|5506363.05
LDOUSDT|ldousdt|2.969|3.1491|2.952|3.1379|3545126.073475503|10789730.62984|161936|3.1365|404.2647|3.1396|28.4737
ALICEUSDT|aliceusdt|1.1957|1.2562|1.1848|1.2334|194662.51483798164|234794.82895989|10910|1.2325|14.8223|1.2348|80.4132
JSTUSDD|jstusdd|0.031568|0.031568|0.031154|0.031242|18417830.56|576813.26541667|2075|0.03118|1117.84|0.031329|97400.0
WOZXUSDT|wozxusdt|0.004454|0.004888|0.004334|0.004424|1342780.1329226731|6008.671849965425|54|0.004422|74912.27|0.004566|16902.505
MINEUSDT|mineusdt|0.000245|0.000252|0.000232|0.000249|2808724.4575501992|689.6035852147|45|0.000249|80752.8919|0.00026|50000.0
VPADUSDT|vpadusdt|0.04102|0.04102|0.03792|0.03898|2200335.1975350603|87688.497820997|2987|0.03898|5310.3538|0.03899|600.8907649397281
SAOUSDT|saousdt|0.00322|0.00324|0.002758|0.003168|164149523.38964775|508038.4434935268|27439|0.003129|9575.6868|0.003207|21463.7159
AAVEUSDT|aaveusdt|88.2282|91.3612|87.627|90.024|272128.21692901035|24284255.51783728|149005|90.024|1.8178|90.044|1.9506
ANKRUSDT|ankrusdt|0.025009|0.025362|0.024827|0.025139|8968777.783804012|224466.39818666|4489|0.025115|34568.85|0.025141|4423.29
LUNRUSDT|lunrusdt|0.0608|0.0608|0.0572|0.0594|74484.66270519629|4387.68411612|258|0.0593|43.8249|0.0594|421.431
JSTUSDT|jstusdt|0.031613|0.031638|0.031088|0.031234|394933123.09658855|12372698.87592733|159565|0.031233|1631.23|0.03124|5930.25
AIUSDT|aiusdt|1.3811|1.5387|1.3701|1.4837|3354861.2228656043|4775543.51925301|57866|1.4801|218.525|1.4869|29.773
AKTUSDT|aktusdt|3.1199|3.4|3.0797|3.3212|297239.84557193855|956900.17400214|21138|3.3106|9.0617|3.3311|15.3677
DIOUSDT|diousdt|0.04221|0.047519|0.042052|0.045847|2203549.7135479893|96099.44418214|4758|0.045798|1022.56|0.046087|363.93
F1F2X8Z9|f1f2x8z9|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0.0|0.0|0.0
TOMIUSDT|tomiusdt|0.9888|1.031|0.9854|1.0259|6321249.837738971|6291944.687056963|3615|1.0246|12.0449|1.0266|94.0
STFUSDT|stfusdt|0.009317|0.00986|0.009273|0.009749|153897022.39918596|1481447.3701165055|14900|0.009651|1483.9715|0.009837|2374.7931
USDTTRY|usdttry|31.381|31.85|30.995|31.173|2076.5333439307396|64853.94463134|204|31.111|1.3069|31.173|584.9267
WIFIUSDT|wifiusdt|0.1002|0.10428|0.09397|0.101192|1303110.7354669888|129880.1358979738|4985|0.10089|2659.8015|0.101558|338.3729
VRAUSDT|vrausdt|0.006506|0.007047|0.006491|0.006817|86173479.30235887|568008.809355052|29307|0.006817|2563.2325|0.006837|9332.4246
TRUUSDT|truusdt|0.052344|0.054848|0.052008|0.053215|1722465.3344556927|90691.6484263982|1759|0.052583|1870.9356|0.053423|23267.0868
A8S8D8F8|a8s8d8f8|12010.0|12010.0|12010.0|12010.0|0.0|0.0|0|0.0|0.0|12998.0|11454.45131952608
SIGNUSDT|signusdt|0.01118|0.011303|0.01118|0.011246|89428173.0175|1001052.8803772114|25518|0.011184|1926.3803|0.011305|2120.5592
WANBTC|wanbtc|4.45e-06|4.6e-06|4.45e-06|4.6e-06|296311.32|1.343169667|2420|4.6e-06|72.24|4.61e-06|647.57
WPCIUSDT|wpciusdt|0.1147|0.1181|0.1135|0.1152|2609033.0177081195|299841.01894453|6686|0.1135|477.6319|0.1174|262.9551
ACHETH|acheth|7.45e-06|7.47e-06|7.22e-06|7.29e-06|988469.17|7.2478142969|193|7.26e-06|4141.45|7.31e-06|43935.29
CEREUSDT|cereusdt|0.005341|0.005647|0.005275|0.005587|51344532.21739501|282048.963468379|8971|0.005587|2456.4607|0.005642|9686.9743
LOOTUSDT|lootusdt|0.0341|0.035|0.0327|0.0345|1123778.4145|37906.203001|3556|0.0342|1286.9112|0.0349|292.8282
DIAUSDT|diausdt|0.4522|0.4544|0.4415|0.446|8797370.78475039|3921365.53558725|84873|0.4457|848.957|0.4466|135.3708
DOGEUSDT|dogeusdt|0.081536|0.082978|0.080988|0.08258|280697189.4543371|22929788.798227932|73863|0.082573|3266.37|0.082595|2420.78
ZENUSDT|zenusdt|7.7985|8.1048|7.7238|8.0176|130709.49305395676|1039846.6496077|29447|8.0058|1.5108|8.0275|1.4945
RADUSDT|radusdt|1.9402|2.0408|1.9196|1.9379|131283.99822601627|254332.75849479|11121|1.9374|45.0451|1.9378|29.5239
EURUSDT|eurusdt|1.082|1.088|1.076|1.081|36229.6|39219.731|2016|1.074|19.8|1.088|13.7
FNSABTC|fnsabtc|0.000645|0.000668|0.000635|0.000653|1355.0581|0.8791620534|770|0.000651|0.1612|0.000654|1.1952
SDUSDT|sdusdt|1.0217|1.0278|1.0149|1.0255|438830.2774798839|448969.10925006|9955|1.0177|17.9431|1.0305|145.9528
REEFUSDT|reefusdt|0.001521|0.001663|0.001508|0.001574|5809932931.459283|9194863.460147034|150255|0.00157|66694.9345|0.001574|27326.4702
SNSUSDT|snsusdt|0.02429|0.039488|0.023204|0.033805|41685597.34016081|1162602.4645843874|5097|0.03379|2519.68|0.0339|12429.095156637168
WOJAKUSDT|wojakusdt|0.00030172|0.00032758|0.00029408|0.0003228|14169010.897008065|4215.986586378515|122|0.00031643|92478.92|0.00032757|193117.04
LATUSDT|latusdt|0.007492|0.0077|0.007492|0.007597|29702.58|224.54889538|16|0.007672|3910.32|0.007889|2028.31
ELUUSDT|eluusdt|0.027819|0.030136|0.024813|0.026552|254394732.4521295|7109050.1654024655|156102|0.02655|407.3099|0.026556|422.5435
DOGEUSDD|dogeusdd|0.081446|0.083229|0.081052|0.082653|1684637.53|137596.14753117|1684|0.082617|367.14|0.082625|452.53
MGGUSDT|mggusdt|0.001403|0.001545|0.001308|0.001414|358158151.8230312|513848.7739971448|28417|0.001388|32412.225|0.001442|38965.291
SSVUSDT|ssvusdt|30.091|32.8987|29.9982|31.7076|18929.723559430433|587140.4026062|16245|31.6452|41.9775|31.7634|0.3823
FLRUSDT|flrusdt|0.0318|0.035|0.0316|0.0322|16033151.800117206|516989.7742608023|12081|0.0322|25245.9073|0.0324|19315.95
DOTBTC|dotbtc|0.00014507|0.00014801|0.00014507|0.00014776|675.6252679868439|0.098933942658|104|0.00014759|1.5|0.0001478|2.8078
BOSONUSDT|bosonusdt|0.2206|0.2433|0.2197|0.2231|555722.00590446|125943.54138259|2736|0.2209|107.6567|0.2259|340.8902
ARGUSDT|argusdt|1.6577|1.6848|1.615|1.631|447640.6386|737639.88013518|12843|1.6151|43.896|1.6441|15.714
