gen_name|original_name|bidPrice|bidQty|askPrice|askQty|status|baseAsset|baseAssetPrecision|quoteAsset|quotePrecision|quoteAssetPrecision|baseCommissionPrecision|quoteCommissionPrecision|orderTypes|isSpotTradingAllowed|isMarginTradingAllowed|quoteAmountPrecision|baseSizePrecision|permissions|filters|maxQuoteAmount|makerCommission|takerCommission|quoteAmountPrecisionMarket|maxQuoteAmountMarket|fullName
HEXUSDT|HEXUSDT|0.010150|4876.89|0.010267|4296.17|ENABLED|HEX|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|HEX
HIGHUSDT|HIGHUSDT|1.598|2349.983|1.605|1686.534|ENABLED|HIGH|3|USDT|3|3|3|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Highstreet
SHIAUSDT|SHIAUSDT|0.05927|588.92|0.05958|381.15|ENABLED|SHIA|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Shiba Saga
APXUSDT|APXUSDT|0.06770|184.26|0.06955|420.15|ENABLED|APX|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ApolloX
MIDDLEUSDT|MIDDLEUSDT|0.0000000002016|99206349206.34|0.0000000002700|92571947068.30|ENABLED|MIDDLE|2|USDT|13|13|2|13|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|MiddleLend
XRPBABYUSDT|XRPBABYUSDT|0.0000001934|119783526.67|0.0000002369|266331249.74|ENABLED|XRPBABY|2|USDT|10|10|2|10|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|XRPBABY
TOMBPLUSUSDT|TOMBPLUSUSDT|0.0770|146.93|0.0810|200.94|ENABLED|TOMBPLUS|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Tombplus
INJUSDT|INJUSDT|34.695|736.25|34.696|698.40|ENABLED|INJ|2|USDT|3|3|2|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Injective
MINTIUSDT|MINTIUSDT|0.001911|49712.17|0.003135|7882.44|ENABLED|MINTI|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Minti
FNZUSDT|FNZUSDT|0.002960|0.01|0.002990|2167.22|ENABLED|FNZ|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Fanzee
PCTUSDT|PCTUSDT|0.0000000093|1894191465.83|0.0000000107|10629280382.22|ENABLED|PCT|2|USDT|10|10|2|10|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Party-Cats
SRTUSDT|SRTUSDT|0.00005476|91862.66|0.00005479|143846.80|ENABLED|SRT|2|USDT|8|8|2|8|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.0001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Smart Reward Token
ONEUSDT|ONEUSDT|0.01668|66089.63|0.01669|171502.55|ENABLED|ONE|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Harmony
AICOREUSDT|AICOREUSDT|0.7219|17.43|0.7598|19.17|ENABLED|AICORE|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|AICORE
KSMUSDT|KSMUSDT|45.34|1.4682|45.35|1.6396|ENABLED|KSM|4|USDT|2|2|4|2|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Kusama
SFARMUSDT|SFARMUSDT|0.2060|468.08|0.2183|431.86|ENABLED|SFARM|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SolFarm
