gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
1INCHEUR|1INCH-EUR|0.3645|10|0.408|1550.938346|0.4069|311.026866|0.3645|0.3645|0.3645|0|0|1707816697709|0.3645|0.3645||1INCH|1|||||||SPOT||1700539798000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||EUR||live||0.0001|
MDTUSDT|MDT-USDT|0.05702|664.968421|0.057|30957.523685|0.05691|448.104908|0.05269|0.05733|0.05217|107611.46820026261|1978029.671622|1707816694314|0.05589|0.05346||MDT|1|||||||SPOT||1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
LUNAUSDC|LUNA-USDC|0.68|1.3836|0.6811|367.9639|0.6807|778.5191|0.6532|0.6845|0.6437|6594.90954157|9827.8403|1707816695611|0.6767|0.6587||LUNA|1|||||||SPOT|5|1653732267000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDC||live||0.0001|
OASUSDT|OAS-USDT|0.12925|350.61|0.12954|200|0.12925|809.93|0.12142|0.14255|0.11484|2076301.7043318|16163241.7|1707816698011|0.12159|0.11666||OAS|1|||||||SPOT||1670823117000|0.01|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100||USDT||live||0.00001|
LINKBTC|LINK-BTC|0.0004028|14.765|0.0004027|2.812|0.0004026|10.624|0.0004197|0.0004338|0.0004015|18.7904931943|45361.936|1707816694503|0.0004102|0.0004059||LINK|1|||||||SPOT|5|1548133413000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|0.1||BTC||live||0.0000001|
KNCUSDT|KNC-USDT|0.6338|157.987532|0.6334|225.264917|0.633|1225.969931|0.6026|0.639|0.5971|1600383.6359400488|2537365.015433|1707816696104|0.6328|0.6095||KNC|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
NEOBTC|NEO-BTC|0.0002392|3.88415|0.0002428|103.56255|0.0002395|17.74888|0.0002442|0.0002442|0.0002387|0.085593970899|354.65679|1707816698111|0.0002435|0.0002388||NEO|1|||||||SPOT|3|1548133413000|0.00001|9999999999999.0000000000000000|20000000|9999999999999|1000000|1000000|1000000|9999999999999.0000000000000000|9999999999999.0000000000000000|0.1||BTC||live||0.0000001|
DAIUSDT|DAI-USDT|1|115.37766|1|2590.998379|0.9999|2358.825075|1.0003|1.0016|0.9995|937128.686915042|936879.007958|1707816694114|0.9997|1.0005||DAI|1|||||||SPOT||1576623628000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
LUNAUSDT|LUNA-USDT|0.6805|23.8311|0.6805|6.6373|0.6804|1352.1117|0.6491|0.6876|0.6401|2301103.91811868|3456040.9915|1707816695609|0.6748|0.662||LUNA|1|||||||SPOT|5|1653732267000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDT||live||0.0001|
XNOUSDT|XNO-USDT|1.169|50|1.174|309.411|1.169|1097.9997|1.142|1.184|1.139|29622.6176616|25261.6168|1707816660208|1.177|1.172||XNO|1|||||||SPOT||1654683517000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDT||live||0.001|
ATOMETH|ATOM-ETH|0.00377|6.7|0.003774|49.7409|0.003771|182.6399|0.003901|0.003901|0.003692|10.1610484567|2682.1707|1707816695109|0.003726|0.003849||ATOM|1|||||||SPOT||1548133413000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.1||ETH||live||0.000001|
CVXUSDT|CVX-USDT|3.35|29.849|3.356|21.596685|3.35|147.471071|3.11|3.409|3.095|124919.479930488|37908.703554|1707816696009|3.347|3.209||CVX|1|||||||SPOT||1637910537000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|1||USDT||live||0.001|
AGLDUSDT|AGLD-USDT|1.296|26.323178|1.296|1948.415639|1.295|812.932943|1.253|1.306|1.24|1662472.864555663|1299389.262413|1707816677010|1.294|1.273||AGLD|1|||||||SPOT|5|1630654581000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|1||USDT||live||0.001|
JTOUSDT|JTO-USDT|2.136|29.5598|2.136|383.7855|2.134|972.8849|1.967|2.167|1.922|4093985.7403319|1973909.6508|1707816697811|2.068|2.033||JTO|1|||||||SPOT|5|1704687914000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDT||live||0.001|
STETHETH|STETH-ETH|0.9996|0.004503|0.9997|2.640876|0.9996|1.995497|1.0001|1.0001|0.999|292.00029735|292.190953|1707816685004|0.9992|0.9998||STETH|1|||||||SPOT||1689650492000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.001||ETH||live||0.0001|
CRVBTC|CRV-BTC|0.00001033|300.2174|0.00001034|2420.1355|0.00001031|278.6975|0.00001033|0.00001072|0.00001012|0.677571369051|65285.8033|1707816697909|0.00001036|0.00001012||CRV|1|||||||SPOT|3|1597346596000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||BTC||live||0.00000001|
LSKUSDT|LSK-USDT|1.351|9.98770628|1.352|359.5035108|1.351|83.13095426|1.323|1.381|1.308|217481.47581571265|160275.4602746|1707816697304|1.368|1.347||LSK|1|||||||SPOT|5|1548133413000|0.00000001|9999999999.0000000000000000|20000000|9999999999|1000000|1000000|1000000|9999999999.0000000000000000|9999999999.0000000000000000|1||USDT||live||0.001|
IOTAUSDT|IOTA-USDT|0.2631|148.629886|0.2635|791.721406|0.2634|6817.447173|0.2499|0.2668|0.2453|1441206.8906390696|5576370.984285|1707816697909|0.2581|0.2539||IOTA|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
BONKUSDT|BONK-USDT|0.000012914|6597214|0.000012921|18475509|0.000012912|45483203|0.000012152|0.000013534|0.000011759|2985218.950043671|233164077109|1707816695713|0.00001318|0.00001264||BONK|1|||||||SPOT|5|1704687914000|1|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100000||USDT||live||0.000000001|
AGLDUSDC|AGLD-USDC|1.294|26.0589|1.298|190.7725|1.295|220.7297|1.251|1.299|1.245|5007.1966073|3893.2759|1707816690904|1.293|1.269||AGLD|1|||||||SPOT||1658816142000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDC||live||0.001|
XRPUSDC|XRP-USDC|0.5294|203.3022|0.5293|1068.75|0.5292|1588.919|0.5187|0.5381|0.5144|1058309.40373153|2003359.8254|1707816696704|0.5319|0.528||XRP|1|||||||SPOT|10|1585176747000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.0001|
CROBTC|CRO-BTC|0.000001804|6134.168|0.000001807|1631|0.000001799|245|0.00000179|0.00000195|0.000001732|2.034880954912|1102957.464|1707816695910|0.000001774|0.000001757||CRO|1|||||||SPOT|3|1571785200000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|10||BTC||live||0.000000001|
APMUSDT|APM-USDT|0.0065|38402.457757|0.00652|9851.059969|0.00648|627.585688|0.00646|0.00665|0.00633|53407.86016422346|8249097.978726|1707816698009|0.00657|0.0065||APM|1|||||||SPOT||1582320712000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
